Province,Department,Programme,Subprogramme,Sum - 2018/19 Revised baseline,Sum - 2019/20 Revised baseline,Sum - 2020/21 Indicative baseline
FREE STATE,PROVINCIAL TREASURY,Municipal Finance Management,Xhariep District,6233,6998,7448
FREE STATE,PROVINCIAL TREASURY,Sustainable Resource Management,,43470,44826,47743
FREE STATE,PROVINCIAL TREASURY,Sustainable Resource Management,Budget Management,11900,12234,13132
FREE STATE,PROVINCIAL TREASURY,Sustainable Resource Management,Compensation Directorate ,760,803,848
FREE STATE,PROVINCIAL TREASURY,Sustainable Resource Management,Economic Analysis,7821,8536,9005
FREE STATE,PROVINCIAL TREASURY,Sustainable Resource Management,Fiscal Policy,7783,8413,8875
FREE STATE,PROVINCIAL TREASURY,Sustainable Resource Management,Programme Support,1351,1428,1733
FREE STATE,PROVINCIAL TREASURY,Sustainable Resource Management,Public Finance,13855,13412,14150
FREE STATE,PUBLIC WORKS AND INFRASTRUCTURE,,,1635268,1769096,1859997
FREE STATE,PUBLIC WORKS AND INFRASTRUCTURE,Administration,,138436,144757,152381
FREE STATE,PUBLIC WORKS AND INFRASTRUCTURE,Administration,Corporate Support,115563,120039,126301
FREE STATE,PUBLIC WORKS AND INFRASTRUCTURE,Administration,Management of the Department ,13920,14941,15765
FREE STATE,PUBLIC WORKS AND INFRASTRUCTURE,Administration,Office of the MEC,8953,9777,10315
FREE STATE,PUBLIC WORKS AND INFRASTRUCTURE,Expanded Public Works Programme,,172187,168144,182765
FREE STATE,PUBLIC WORKS AND INFRASTRUCTURE,Expanded Public Works Programme,Community Development,138771,132756,145424
FREE STATE,PUBLIC WORKS AND INFRASTRUCTURE,Expanded Public Works Programme,Innovation and Empowerment,14866,15565,16421
FREE STATE,PUBLIC WORKS AND INFRASTRUCTURE,Expanded Public Works Programme,Programme Support,18550,19823,20920
FREE STATE,PUBLIC WORKS AND INFRASTRUCTURE,Public Works Infrastructure,,1324645,1456195,1524851
FREE STATE,PUBLIC WORKS AND INFRASTRUCTURE,Public Works Infrastructure,Construction ,79120,86267,80778
FREE STATE,PUBLIC WORKS AND INFRASTRUCTURE,Public Works Infrastructure,Facility Operations,143156,151130,160796
FREE STATE,PUBLIC WORKS AND INFRASTRUCTURE,Public Works Infrastructure,Immovable Asset Management,876277,984631,1030305
FREE STATE,PUBLIC WORKS AND INFRASTRUCTURE,Public Works Infrastructure,Maintenance,174455,189473,205284
FREE STATE,PUBLIC WORKS AND INFRASTRUCTURE,Public Works Infrastructure,Programme Support,5265,5643,6023
FREE STATE,PUBLIC WORKS AND INFRASTRUCTURE,Public Works Infrastructure,DESIGN,22356,24020,25614
FREE STATE,PUBLIC WORKS AND INFRASTRUCTURE,Public Works Infrastructure,PLANNING,24016,15031,16051
FREE STATE,SOCIAL DEVELOPMENT,,,1266057,1320685,1385346
FREE STATE,SOCIAL DEVELOPMENT,Administration,,268718,287517,297367
FREE STATE,SOCIAL DEVELOPMENT,Administration,Corporate Management Services,150757,165102,169716
FREE STATE,SOCIAL DEVELOPMENT,Administration,District Management ,106978,109760,114300
FREE STATE,SOCIAL DEVELOPMENT,Administration,Office of the MEC,10983,12655,13351
FREE STATE,SOCIAL DEVELOPMENT,Children and Families,,461661,496501,515395
FREE STATE,SOCIAL DEVELOPMENT,Children and Families,Care and Services to Families,27225,29045,31706
FREE STATE,SOCIAL DEVELOPMENT,Children and Families,Child and Youth Care Centres,76197,88806,95817
FREE STATE,SOCIAL DEVELOPMENT,Children and Families,Child Care and Protection ,103963,118116,123860
FREE STATE,SOCIAL DEVELOPMENT,Children and Families,Community Based Care Services to Children,10678,13911,14397
FREE STATE,SOCIAL DEVELOPMENT,Children and Families,ECD and Partial Care,243023,245972,248818
FREE STATE,SOCIAL DEVELOPMENT,Children and Families,Management and Support,575,651,797
FREE STATE,SOCIAL DEVELOPMENT,Development and Research,,161154,133936,143513
FREE STATE,SOCIAL DEVELOPMENT,Development and Research,Community Based Research and Planning,2937,3262,3547
FREE STATE,SOCIAL DEVELOPMENT,Development and Research,Community Mobilisation,105,111,117
FREE STATE,SOCIAL DEVELOPMENT,Development and Research,Institutional Capacity Building and Support,15963,16240,17888
FREE STATE,SOCIAL DEVELOPMENT,Development and Research,Management and Support,4077,4679,5991
FREE STATE,SOCIAL DEVELOPMENT,Development and Research,Population Policy Promotion,4641,4901,5170
FREE STATE,SOCIAL DEVELOPMENT,Development and Research,Poverty Alleviation and Sustainable Livelihoods,62486,33414,34519
FREE STATE,SOCIAL DEVELOPMENT,Development and Research,Women Development,1400,1400,1400
FREE STATE,SOCIAL DEVELOPMENT,Development and Research,Youth Development,69545,69929,74881
FREE STATE,SOCIAL DEVELOPMENT,Restorative Services,,156898,171688,183733
FREE STATE,SOCIAL DEVELOPMENT,Restorative Services,Management and Support,604,637,672
FREE STATE,SOCIAL DEVELOPMENT,Restorative Services,"Substance Abuse, Prevention and Rehabilitation",67482,71883,76493
FREE STATE,SOCIAL DEVELOPMENT,Restorative Services,Crime Prevention and Support,68220,75160,79597
FREE STATE,SOCIAL DEVELOPMENT,Restorative Services,Victim Empowerment,20592,24008,26971
FREE STATE,SOCIAL DEVELOPMENT,Social Welfare Services,,217626,231043,245338
FREE STATE,SOCIAL DEVELOPMENT,Social Welfare Services,HIV and AIDS,36351,38897,41147
FREE STATE,SOCIAL DEVELOPMENT,Social Welfare Services,Management and Support,11271,11645,12246
FREE STATE,SOCIAL DEVELOPMENT,Social Welfare Services,Services to Older Persons,120528,128420,136852
FREE STATE,SOCIAL DEVELOPMENT,Social Welfare Services,Services to Persons with Disabilities,47375,49862,52641
FREE STATE,SOCIAL DEVELOPMENT,Social Welfare Services,Social Relief,2101,2219,2452
FREE STATE,"SPORT, ARTS, CULTURE AND RECREATION ",,,727010.03,740399,751818
FREE STATE,"SPORT, ARTS, CULTURE AND RECREATION ",Administration,,94986,102577,107508
FREE STATE,"SPORT, ARTS, CULTURE AND RECREATION ",Administration,Corporate Services,45898,48549,51334
FREE STATE,"SPORT, ARTS, CULTURE AND RECREATION ",Administration,Office of the MEC,49088,54028,56174
FREE STATE,"SPORT, ARTS, CULTURE AND RECREATION ",Cultural Affairs,,166661,166191,176354
FREE STATE,"SPORT, ARTS, CULTURE AND RECREATION ",Cultural Affairs,Arts and Culture,110857,117559,124182
FREE STATE,"SPORT, ARTS, CULTURE AND RECREATION ",Cultural Affairs,Language Services,5467,5790,6136
FREE STATE,"SPORT, ARTS, CULTURE AND RECREATION ",Cultural Affairs,Museum Services,43672,35907,38812
FREE STATE,"SPORT, ARTS, CULTURE AND RECREATION ",Cultural Affairs,HERITAGE RESOURCE SERVICES,3998,4131,4273
FREE STATE,"SPORT, ARTS, CULTURE AND RECREATION ",Cultural Affairs,MANAGEMENT,2667,2804,2951
FREE STATE,"SPORT, ARTS, CULTURE AND RECREATION ",Sport and Recreation,,247646,214887,198549
FREE STATE,"SPORT, ARTS, CULTURE AND RECREATION ",Sport and Recreation,Recreation,33543,36655,41657
FREE STATE,"SPORT, ARTS, CULTURE AND RECREATION ",Sport and Recreation,Sport,117364,79463,56200
FREE STATE,"SPORT, ARTS, CULTURE AND RECREATION ",Sport and Recreation,MANAGEMENT,65776,66065,66373
FREE STATE,"SPORT, ARTS, CULTURE AND RECREATION ",Sport and Recreation,SCHOOL SPORT,30963,32704,34319
FREE STATE,"SPORT, ARTS, CULTURE AND RECREATION ",LIBRARY AND ARCHIVES SERVICES,,217717.03,256744,269407
FREE STATE,"SPORT, ARTS, CULTURE AND RECREATION ",LIBRARY AND ARCHIVES SERVICES,Archives,6295,6658,7046
FREE STATE,"SPORT, ARTS, CULTURE AND RECREATION ",LIBRARY AND ARCHIVES SERVICES,Library services,207079.03,245475,257361
FREE STATE,"SPORT, ARTS, CULTURE AND RECREATION ",LIBRARY AND ARCHIVES SERVICES,MANAGEMENT,4343,4611,5000
GAUTENG,,,,121359156.251852,128091920.231504,135478920.085
GAUTENG,AGRICULTURE AND RURAL DEVELOPMENT,,,957000,1010840,1036994
GAUTENG,AGRICULTURE AND RURAL DEVELOPMENT,Administration,,225076,238623,251616
GAUTENG,AGRICULTURE AND RURAL DEVELOPMENT,Administration,GRA:CORPORATE SERVICES,87080,92849,97753
GAUTENG,AGRICULTURE AND RURAL DEVELOPMENT,Administration,GRA:FINANCIAL MANAGEMENT,104372,110094,116223
GAUTENG,AGRICULTURE AND RURAL DEVELOPMENT,Administration,GRA:OFFICE OF THE MEC,6165,6651,7015
GAUTENG,AGRICULTURE AND RURAL DEVELOPMENT,Administration,GRA:SENIOR MANAGEMENT,27459,29029,30625
GAUTENG,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURE AND RURAL DEVELOPMENT,,489427,495039,527243
GAUTENG,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURE AND RURAL DEVELOPMENT,GRA:AGRICULTURAL ECONOMICS SERV,33560,35439,37388
GAUTENG,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURE AND RURAL DEVELOPMENT,GRA:FARMER SUPPORT & DEVELOPMENT,205579,200388,212866
GAUTENG,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURE AND RURAL DEVELOPMENT,GRA:RESEARCH & TECHNOLGY DEV SER,75093,79298,83660
GAUTENG,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURE AND RURAL DEVELOPMENT,GRA:RURAL DEVELOPMNT CORDINATION,13833,14440,15233
GAUTENG,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURE AND RURAL DEVELOPMENT,GRA:SUSTAINABLE RESOURCE MANAGE,62302,61004,58195
GAUTENG,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURE AND RURAL DEVELOPMENT,GRA:VETERINARY SERVICES,99060,104470,119901
GAUTENG,AGRICULTURE AND RURAL DEVELOPMENT,ENVIRONMENTAL AFFAIRS,,242497,277178,258135
GAUTENG,AGRICULTURE AND RURAL DEVELOPMENT,ENVIRONMENTAL AFFAIRS,GRA: BIODIVERSITY MANAGEMENT,129870,157242,131601
GAUTENG,AGRICULTURE AND RURAL DEVELOPMENT,ENVIRONMENTAL AFFAIRS,GRA:COMPLIANCE AND ENFORCEMENT,43880,46534,49094
GAUTENG,AGRICULTURE AND RURAL DEVELOPMENT,ENVIRONMENTAL AFFAIRS,"GRA:ENVIRONMENTAL POLICY,PLANNING AND COORDINATION",22627,23849,25161
GAUTENG,AGRICULTURE AND RURAL DEVELOPMENT,ENVIRONMENTAL AFFAIRS,GRA:ENVIRONMENTAL QUALITY MANAGEMENT,46120,49553,52279
GAUTENG,COMMUNITY SAFETY,,,719495,759694,805786
GAUTENG,COMMUNITY SAFETY,Administration,,130615,141224,149574
GAUTENG,COMMUNITY SAFETY,Administration,Corporate Services,74806,81374,86355
GAUTENG,COMMUNITY SAFETY,Administration,Financial Management,21247,23495,24788
GAUTENG,COMMUNITY SAFETY,Administration,LEGAL   ,4427,4674,4931
GAUTENG,COMMUNITY SAFETY,Administration,Office of the HOD,18853,19946,21045
GAUTENG,COMMUNITY SAFETY,Administration,Office of the MEC,9397,9683,10321
GAUTENG,COMMUNITY SAFETY,Administration,SECURITY,1885,2052,2134
GAUTENG,COMMUNITY SAFETY,Provincial Secretariat for Police Service,,185464,191312,202742
GAUTENG,COMMUNITY SAFETY,Provincial Secretariat for Police Service,Community Police Relations,49038,50350,53252
GAUTENG,COMMUNITY SAFETY,Provincial Secretariat for Police Service,Monitoring and Evaluation,34452,36450,38759
GAUTENG,COMMUNITY SAFETY,Provincial Secretariat for Police Service,Policy And Research  ,9462,9994,10602
GAUTENG,COMMUNITY SAFETY,Provincial Secretariat for Police Service,Programme Support,8758,9336,9850
GAUTENG,COMMUNITY SAFETY,Provincial Secretariat for Police Service,Safety Promotion,83754,85182,90279
GAUTENG,COMMUNITY SAFETY,Traffic Management,,403416,427158,453470
GAUTENG,COMMUNITY SAFETY,Traffic Management,PUBLIC TRANSPORT INSPECTORATE,42771,45649,48617
GAUTENG,COMMUNITY SAFETY,Traffic Management,ROAD SAFETY PROMOTION,58896,62825,66885
GAUTENG,COMMUNITY SAFETY,Traffic Management,SPECIAL SERVICES,33909,36865,39202
GAUTENG,COMMUNITY SAFETY,Traffic Management,TRAFFIC LAW ENFORCEMENT,267840,281819,298766
GAUTENG,COOPERATIVE GOVERNANCE AND TRADITIONAL AFFAIRS,,,468235,496588,527317
GAUTENG,COOPERATIVE GOVERNANCE AND TRADITIONAL AFFAIRS,Administration,,144284,153214,162578
GAUTENG,COOPERATIVE GOVERNANCE AND TRADITIONAL AFFAIRS,Administration,Corporate Services,139081,147643,156701
GAUTENG,COOPERATIVE GOVERNANCE AND TRADITIONAL AFFAIRS,Administration,Office of the MEC,5203,5571,5877
GAUTENG,COOPERATIVE GOVERNANCE AND TRADITIONAL AFFAIRS,Development Planning ,,95983,100914,105577
GAUTENG,COOPERATIVE GOVERNANCE AND TRADITIONAL AFFAIRS,Development Planning ,Disaster Management,64598,67561,71276
GAUTENG,COOPERATIVE GOVERNANCE AND TRADITIONAL AFFAIRS,Development Planning ,Idp Coordination,10266,11285,11962
GAUTENG,COOPERATIVE GOVERNANCE AND TRADITIONAL AFFAIRS,Development Planning ,Land Use Management,0,0,0
GAUTENG,COOPERATIVE GOVERNANCE AND TRADITIONAL AFFAIRS,Development Planning ,Municipal Infrastructure,21119,22068,22339
GAUTENG,COOPERATIVE GOVERNANCE AND TRADITIONAL AFFAIRS,Local Governance,,215389,229064,245015
GAUTENG,COOPERATIVE GOVERNANCE AND TRADITIONAL AFFAIRS,Local Governance,Capacity Development,19111,20113,21738
GAUTENG,COOPERATIVE GOVERNANCE AND TRADITIONAL AFFAIRS,Local Governance,Municipal Administration,14458,13357,14207
GAUTENG,COOPERATIVE GOVERNANCE AND TRADITIONAL AFFAIRS,Local Governance,Municipal Finance,10892,9929,10534
GAUTENG,COOPERATIVE GOVERNANCE AND TRADITIONAL AFFAIRS,Local Governance,"Municipal Performance Monitoring, Reporting and Evaluation",16455,20008,21510
GAUTENG,COOPERATIVE GOVERNANCE AND TRADITIONAL AFFAIRS,Local Governance,Public Participation,154473,165657,177026
GAUTENG,COOPERATIVE GOVERNANCE AND TRADITIONAL AFFAIRS,Traditional Institutional Management,,12579,13396,14147
GAUTENG,COOPERATIVE GOVERNANCE AND TRADITIONAL AFFAIRS,Traditional Institutional Management,Rural Development Facilitation,555,586,618
GAUTENG,COOPERATIVE GOVERNANCE AND TRADITIONAL AFFAIRS,Traditional Institutional Management,Traditional Institution Administration,6047,6391,6742
GAUTENG,COOPERATIVE GOVERNANCE AND TRADITIONAL AFFAIRS,Traditional Institutional Management,Traditional Land Administration,955,1026,1080
GAUTENG,COOPERATIVE GOVERNANCE AND TRADITIONAL AFFAIRS,Traditional Institutional Management,Traditional Resource Administration,5022,5393,5707
GAUTENG,ECONOMIC DEVELOPMENT ,,,1510450,1587355,1676058
GAUTENG,ECONOMIC DEVELOPMENT ,Administration,,302494,307704,327390
GAUTENG,ECONOMIC DEVELOPMENT ,Administration,Corporate Services,209574,209583,221110
GAUTENG,ECONOMIC DEVELOPMENT ,Administration,Financial Management,55236,58327,61533
GAUTENG,ECONOMIC DEVELOPMENT ,Administration,Office of the HOD,22764,24038,26860
GAUTENG,ECONOMIC DEVELOPMENT ,Administration,Office of the MEC,14920,15756,17887
GAUTENG,ECONOMIC DEVELOPMENT ,Economic Planning,,119512,121323,128124
GAUTENG,ECONOMIC DEVELOPMENT ,Economic Planning,Economic Infrastructure development,11247,11876,12529
GAUTENG,ECONOMIC DEVELOPMENT ,Economic Planning,Inclusive economy,14536,14508,15306
GAUTENG,ECONOMIC DEVELOPMENT ,Economic Planning,Knowledge Management,1283,1355,1429
GAUTENG,ECONOMIC DEVELOPMENT ,Economic Planning,Monitoring and Evaluation,0,0,0
GAUTENG,ECONOMIC DEVELOPMENT ,Economic Planning,Policy and Planning,26759,29483,24717
GAUTENG,ECONOMIC DEVELOPMENT ,Economic Planning,Research and Development,3931,4593,4846
GAUTENG,ECONOMIC DEVELOPMENT ,Economic Planning,Sector and industry development,61756,59508,69297
GAUTENG,ECONOMIC DEVELOPMENT ,Integrated Economic Development Services,,320504,333145,348395
GAUTENG,ECONOMIC DEVELOPMENT ,Integrated Economic Development Services,Economic Empowerment,13682,17550,18514
GAUTENG,ECONOMIC DEVELOPMENT ,Integrated Economic Development Services,Enterprise Development,305662,314370,328588
GAUTENG,ECONOMIC DEVELOPMENT ,Integrated Economic Development Services,Regional and Local Economic Development,1160,1225,1293
GAUTENG,ECONOMIC DEVELOPMENT ,Business Regulation And Governance,,64792,68756,72539
GAUTENG,ECONOMIC DEVELOPMENT ,Business Regulation And Governance,Consumer Protection ,20640,21807,23006
GAUTENG,ECONOMIC DEVELOPMENT ,Business Regulation And Governance,Governance,9587,10132,10690
GAUTENG,ECONOMIC DEVELOPMENT ,Business Regulation And Governance,IGR And Strategic Partnerships,9544,10115,10672
GAUTENG,ECONOMIC DEVELOPMENT ,Business Regulation And Governance,Liquor Regulation,25021,26702,28171
GAUTENG,ECONOMIC DEVELOPMENT ,Trade and Sector Development,,703148,756427,799610
GAUTENG,ECONOMIC DEVELOPMENT ,Trade and Sector Development,Sector Development,253710.5,268869,285237
GAUTENG,ECONOMIC DEVELOPMENT ,Trade and Sector Development,Strategic Initiatives,443180.5,480830,507276
GAUTENG,ECONOMIC DEVELOPMENT ,Trade and Sector Development,Trade and Investment Promotion,6257,6728,7097
GAUTENG,EDUCATION,,,45220540.006,47780764,50741196
GAUTENG,EDUCATION,Administration,,3299894,3457252,3678760
GAUTENG,EDUCATION,Administration,Corporate Services,1978136,2064260,2209153
GAUTENG,EDUCATION,Administration,EDUCATION MANAGEMENT INFORMATION SYSTEM (EMIS),21901,23171,24446
GAUTENG,EDUCATION,Administration,EDUCATION_MANAGEMENT,1251228,1316022,1388403
GAUTENG,EDUCATION,Administration,HUMAN RESOURCE MANAGEMENT,43931,48829,51515
GAUTENG,EDUCATION,Administration,Office of the MEC,4698,4970,5243
GAUTENG,EDUCATION,PUBLIC ORDINARY SCHOOL EDUCATION,,34491846.006,36836686,39201167
GAUTENG,EDUCATION,PUBLIC ORDINARY SCHOOL EDUCATION,Conditional Grants,896475,941776,1006404
GAUTENG,EDUCATION,PUBLIC ORDINARY SCHOOL EDUCATION,Human Resource Development,174041,184136,194263
GAUTENG,EDUCATION,PUBLIC ORDINARY SCHOOL EDUCATION,PUBLIC PRIMARY SCHOOLS,18790884,20107554,21412042
GAUTENG,EDUCATION,PUBLIC ORDINARY SCHOOL EDUCATION,PUBLIC SECONDARY SCHOOLS,14596813.006,15567637,16550918
GAUTENG,EDUCATION,PUBLIC ORDINARY SCHOOL EDUCATION,"School sport, culture and media services",33633,35583,37540
GAUTENG,EDUCATION,EARLY CHILDHOOD DEVELOPMENT,,809855,856825,903950
GAUTENG,EDUCATION,EARLY CHILDHOOD DEVELOPMENT,GRADE R IN COMMUNITY CENTRES,19358,20481,21607
GAUTENG,EDUCATION,EARLY CHILDHOOD DEVELOPMENT,Grade R in Public Schools,749103,792549,836139
GAUTENG,EDUCATION,EARLY CHILDHOOD DEVELOPMENT,Human Resource Development,16949,17932,18918
GAUTENG,EDUCATION,EARLY CHILDHOOD DEVELOPMENT,PRE-GRADE R TRAINING,24445,25863,27286
GAUTENG,EDUCATION,EXAMINATION AND EDUCATION RELATED SERVICES,,1503479,1580203,1667114
GAUTENG,EDUCATION,EXAMINATION AND EDUCATION RELATED SERVICES,Conditional Grants,10855,0,0
GAUTENG,EDUCATION,EXAMINATION AND EDUCATION RELATED SERVICES,Payments to SETA,95072,101593,107181
GAUTENG,EDUCATION,EXAMINATION AND EDUCATION RELATED SERVICES,EXTERNAL EXAMINATIONS,454218,480563,506994
GAUTENG,EDUCATION,EXAMINATION AND EDUCATION RELATED SERVICES,PROFESSIONAL SERVICES,451096,477259,503508
GAUTENG,EDUCATION,EXAMINATION AND EDUCATION RELATED SERVICES,SPECIAL PROJECTS,492238,520788,549431
GAUTENG,EDUCATION,Independent School Subsidies,,731752,774194,816775
GAUTENG,EDUCATION,Independent School Subsidies,Primary Phase,436101,461395,486772
GAUTENG,EDUCATION,Independent School Subsidies,Secondary Phase,295651,312799,330003
GAUTENG,EDUCATION,INFRASTRUCTURE DEVELOPMENT,,1696137,1413815,1453429
GAUTENG,EDUCATION,INFRASTRUCTURE DEVELOPMENT,Administration,51551,63383,58092
GAUTENG,EDUCATION,INFRASTRUCTURE DEVELOPMENT,Early Childhood Development,115889,58357,8585
GAUTENG,EDUCATION,INFRASTRUCTURE DEVELOPMENT,Public Ordinary Schools,1413149,1115900,1283490
GAUTENG,EDUCATION,INFRASTRUCTURE DEVELOPMENT,Special Schools,115548,176175,103262
GAUTENG,EDUCATION,PUBLIC SPECIAL SCHOOL EDUCATION,,2687577,2861789,3020001
GAUTENG,EDUCATION,PUBLIC SPECIAL SCHOOL EDUCATION,Conditional Grants,26451,30238,32715
GAUTENG,EDUCATION,PUBLIC SPECIAL SCHOOL EDUCATION,Human Resource Development,2164,2290,2416
GAUTENG,EDUCATION,PUBLIC SPECIAL SCHOOL EDUCATION,"School sport, culture and media services",1389,1470,1551
GAUTENG,EDUCATION,PUBLIC SPECIAL SCHOOL EDUCATION,SCHOOLS,2657573,2827791,2983319
GAUTENG,E-GOVERNMENT,,,1273825.944,1342611,1421333
GAUTENG,E-GOVERNMENT,Administration ,,245032.944,258755,279060
GAUTENG,E-GOVERNMENT,Administration ,Corporate Services ,177559.534,186405,202756
GAUTENG,E-GOVERNMENT,Administration ,Office of the CFO ,52268.41,56220,59442
GAUTENG,E-GOVERNMENT,Administration ,Office of the HOD ,10973,11591,12036
GAUTENG,E-GOVERNMENT,Administration ,Risk Management ,4232,4539,4826
GAUTENG,E-GOVERNMENT,Human Resources Services ,,121926,130780,137973
GAUTENG,E-GOVERNMENT,Human Resources Services ,Debt Administration,23799,25018,26394
GAUTENG,E-GOVERNMENT,Human Resources Services ,HR Administration Cluster 1,28172,32158,33927
GAUTENG,E-GOVERNMENT,Human Resources Services ,HR Administration Cluster 2,28225,29712,31346
GAUTENG,E-GOVERNMENT,Human Resources Services ,HR Chief  Dir  Support,1159,1222,1289
GAUTENG,E-GOVERNMENT,Human Resources Services ,HR Information Management,6047,6372,6722
GAUTENG,E-GOVERNMENT,Human Resources Services ,Injury on Duty,7551,7937,8374
GAUTENG,E-GOVERNMENT,Human Resources Services ,Payroll Services,26973,28361,29921
GAUTENG,E-GOVERNMENT,Information Communication Technology(ICT) Shared Services,,906867,953076,1004300
GAUTENG,E-GOVERNMENT,Information Communication Technology(ICT) Shared Services,APPLICATIONS,588914,585489,616759
GAUTENG,E-GOVERNMENT,Information Communication Technology(ICT) Shared Services,BUSINESS ALIGNMENT ,41357,40514,42463
GAUTENG,E-GOVERNMENT,Information Communication Technology(ICT) Shared Services,INFORMATION COMMUNICATION TECHNOLOGY PROGRAMME SUPPORT,2895,3055,3239
GAUTENG,E-GOVERNMENT,Information Communication Technology(ICT) Shared Services,OPERATIONS,273701,324018,341839
GAUTENG,HEALTH,,,46429326,49031984,52415712
GAUTENG,HEALTH,Administration,,893938,826426,871876
GAUTENG,HEALTH,Administration,Office of the MEC,21581,22789,24043
GAUTENG,HEALTH,Administration,MANAGEMENT,872357,803637,847833
GAUTENG,HEALTH,Central Hospital Services,,16675956,18283210,19345482
GAUTENG,HEALTH,Central Hospital Services,CENTRAL HOSPITALS,12907527,14301528,15144810
GAUTENG,HEALTH,Central Hospital Services,Provincial Tertiary Hospital Services,3768429,3981682,4200672
GAUTENG,HEALTH,District Health Services,,15305140,16914023,18318125
GAUTENG,HEALTH,District Health Services,Community Based Services,1984289,2256977,2381112
GAUTENG,HEALTH,District Health Services,Community Health Centres,1969307,2144906,2262874
GAUTENG,HEALTH,District Health Services,District Hospitals,3589849,3827551,4169186
GAUTENG,HEALTH,District Health Services,District Management,525793,576249,607944
GAUTENG,HEALTH,District Health Services,"HIV, AIDS ",4318140,4960522,5570320
GAUTENG,HEALTH,District Health Services,"HIV, AIDS and TB",147476,175298,190680
GAUTENG,HEALTH,District Health Services,Nutrition,58548,61827,65227
GAUTENG,HEALTH,District Health Services,COMMUNITY HEALTH CLINICS,2471605,2657066,2803205
GAUTENG,HEALTH,District Health Services,CORONER SERVICES,240133,253627,267577
GAUTENG,HEALTH,Emergency Medical Services,,1450885,1492129,1586670
GAUTENG,HEALTH,Emergency Medical Services,EMERGENCY TRANSPORT,1271046,1302218,1386314
GAUTENG,HEALTH,Emergency Medical Services,PLANNED PATIENT TRANSPORT,179839,189911,200356
GAUTENG,HEALTH,Health Care Support Services,,310255,317788,335264
GAUTENG,HEALTH,Health Care Support Services,FOOD SUPPLY SERVICES,97618,93266,98395
GAUTENG,HEALTH,Health Care Support Services,LAUNDRIES,212636,224521,236868
GAUTENG,HEALTH,Health Care Support Services,Medicine Trading Account,1,1,1
GAUTENG,HEALTH,HEALTH FACILITIES MANAGEMENT,,1876691,928275,979284
GAUTENG,HEALTH,HEALTH FACILITIES MANAGEMENT,Central Hospital Services,342543,190205,194139
GAUTENG,HEALTH,HEALTH FACILITIES MANAGEMENT,Community Health Facilities,525745,251552,297808
GAUTENG,HEALTH,HEALTH FACILITIES MANAGEMENT,District Hospital Services,253364,89358,39538
GAUTENG,HEALTH,HEALTH FACILITIES MANAGEMENT,EMERGENCY MEDICAL RESCUE SERVICES,10536,1812,2402
GAUTENG,HEALTH,HEALTH FACILITIES MANAGEMENT,OTHER FACILITIES,465539,318088,353516
GAUTENG,HEALTH,HEALTH FACILITIES MANAGEMENT,PROVINCIAL HOSPITAL SERVICES,278964,77260,91881
GAUTENG,HEALTH,Provincial Hospital Services,,8873068,9169475,9817819
GAUTENG,HEALTH,Provincial Hospital Services,DENTAL TRAINING HOSPITALS,581625,625495,671256
GAUTENG,HEALTH,Provincial Hospital Services,General Hospitals,6565923,6712452,7214302
GAUTENG,HEALTH,Provincial Hospital Services,OTHER SPECIALISED HOSPITALS,91419,96548,101858
GAUTENG,HEALTH,Provincial Hospital Services,Psychiatric/Mental Hospital,1214772,1292167,1363236
GAUTENG,HEALTH,Provincial Hospital Services,Tuberculosis Hospitals,419329,442813,467167
GAUTENG,HEALTH,HEALTH SCIENCES AND TRAINING,,1043393,1100658,1161192
GAUTENG,HEALTH,HEALTH SCIENCES AND TRAINING,Other Training,86002,91007,96011
GAUTENG,HEALTH,HEALTH SCIENCES AND TRAINING,BURSARIES,60998,64415,67958
GAUTENG,HEALTH,HEALTH SCIENCES AND TRAINING,EMS TRAINING COLLEGES,37859,39954,42149
GAUTENG,HEALTH,HEALTH SCIENCES AND TRAINING,NURSE TRAINING COLLEGES,858534,905282,955074
GAUTENG,HUMAN SETTLEMENTS,,,5888425.1473304,6117655,6534918
GAUTENG,HUMAN SETTLEMENTS,Administration,,512510,542206,578919
GAUTENG,HUMAN SETTLEMENTS,Administration,Office of the MEC,512510,542206,578919
GAUTENG,HUMAN SETTLEMENTS,Housing Assets Management Property Management,,170279.1717452,176388,182809
GAUTENG,HUMAN SETTLEMENTS,Housing Assets Management Property Management,Administration,4467.9427,4662,4919
GAUTENG,HUMAN SETTLEMENTS,Housing Assets Management Property Management,Devolution of Housing Properties,0.040721200000462,0,0
GAUTENG,HUMAN SETTLEMENTS,Housing Assets Management Property Management,Housing Properties Maintenance,59999.9720688,60000,60000
GAUTENG,HUMAN SETTLEMENTS,Housing Assets Management Property Management,Sales and Transfer of Housing Properties,105811.2162552,111726,117890
GAUTENG,HUMAN SETTLEMENTS,Housing Development,,5163858,5354935,5726637
GAUTENG,HUMAN SETTLEMENTS,Housing Development,Administration,152722,161968,170876
GAUTENG,HUMAN SETTLEMENTS,Housing Development,Financial Interventions,1339575,1384372,1427146
